Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
67_SuREseq_DM03DGRP324_1	0.0	51.0	150.0	36.36363636363637	26724958.0
67_SuREseq_DM03DGRP324_2	5.085959687794144	49.0	150.0	36.36363636363637	26724958.0
67_SuREseq_DM04DGRP360_1	0.0	51.0	150.0	36.36363636363637	24350801.0
67_SuREseq_DM04DGRP360_2	10.062430189205216	49.0	150.0	45.45454545454545	24350801.0
67_SuREseq_DM05DGRP362_1	0.0	50.0	150.0	36.36363636363637	28470856.0
67_SuREseq_DM05DGRP362_2	5.487993320807732	47.0	150.0	45.45454545454545	28470856.0
67_SuREseq_DM06DGRP714_1	0.0	49.0	150.0	27.27272727272727	27602644.0
67_SuREseq_DM06DGRP714_2	2.356313634422932	46.0	150.0	27.27272727272727	27602644.0
67_SuREseq_DM08GDLB04_1	0.0	49.0	150.0	27.27272727272727	26915952.0
67_SuREseq_DM08GDLB04_2	2.239236706597339	46.0	150.0	27.27272727272727	26915952.0
67_SuREseq_DM09_GDL_I02_1	0.0005007903435227945	50.0	150.0	18.181818181818183	31681499.0
67_SuREseq_DM09_GDL_I02_2	2.6882591812460817	47.0	150.0	27.27272727272727	31681499.0
67_SuREseq_DM10_GDL_I33_1	0.0	50.0	150.0	18.181818181818183	18309076.0
67_SuREseq_DM10_GDL_I33_2	3.108430585146124	47.0	150.0	27.27272727272727	18309076.0
67_SuREseq_DM11_GDL_N02_1	0.0	50.0	150.0	18.181818181818183	20930715.0
67_SuREseq_DM11_GDL_N02_2	0.7131076818164104	47.0	150.0	27.27272727272727	20930715.0
67_SuREseq_DM12_GDL_T01_1	0.0	49.0	150.0	18.181818181818183	33825617.0
67_SuREseq_DM12_GDL_T01_2	3.400561648136872	46.0	150.0	27.27272727272727	33825617.0
67_SuREseq_DM13_GDL_ZH23_1	0.0	49.0	150.0	18.181818181818183	34587132.0
67_SuREseq_DM13_GDL_ZH23_2	2.96813453298455	46.0	150.0	27.27272727272727	34587132.0
