Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SuRE_III_Dm10_sequence	79.16212804991473	48.0	50.0	33.33333333333333	33541414.0
SuRE_III_Dm11_sequence	66.88145465028404	48.0	50.0	33.33333333333333	32972045.0
SuRE_III_Dm12_sequence	96.56468888244245	47.0	50.0	33.33333333333333	5118064.0
SuRE_III_Dm13_sequence	87.45006834890681	48.0	50.0	33.33333333333333	21811633.0
SuRE_III_Dm3_sequence	73.35299548584112	47.0	50.0	25.0	34574257.0
SuRE_III_Dm4_sequence	93.07107543767442	47.0	50.0	25.0	25865789.0
SuRE_III_Dm5_sequence	94.37946667523411	47.0	50.0	25.0	20611472.0
SuRE_III_Dm6_sequence	91.8396242186286	47.0	50.0	25.0	26884120.0
SuRE_III_Dm8_sequence	64.01506226510517	47.0	50.0	25.0	33053200.0
SuRE_III_Dm9_sequence	76.90702057992186	47.0	50.0	33.33333333333333	34417815.0
