Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_1_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	71097010.0	0.0	150.0	47.0	45.80601299801125	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_2_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	71097010.0	0.0	150.0	49.0	38.40807396911807	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_1_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	52307222.0	0.0	150.0	47.0	54.139205288655305	150.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_2_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	52307222.0	0.0	150.0	49.0	44.02962745248726	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_1_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	66925269.0	0.0	150.0	46.0	35.05275893014353	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_2_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	66925269.0	0.0	150.0	47.0	31.48745054322558	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_1_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	74595062.0	0.0	150.0	45.0	32.85662787612522	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_2_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	74595062.0	0.0	150.0	45.0	30.784460431270972	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_1_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	70285633.0	0.0	150.0	45.0	27.24757322775752	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_2_sequence	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	70285633.0	0.0	150.0	46.0	26.745528668342576	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
