Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_1_sequence	54.19398700198875	47.0	150.0	25.0	71097010.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_2_sequence	61.59192603088193	49.0	150.0	33.33333333333333	71097010.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_1_sequence	45.860794711344695	47.0	150.0	16.666666666666664	52307222.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_2_sequence	55.97037254751274	49.0	150.0	41.66666666666667	52307222.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_1_sequence	64.94724106985646	46.0	150.0	25.0	66925269.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_2_sequence	68.51254945677442	47.0	150.0	33.33333333333333	66925269.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_1_sequence	67.14337212387477	45.0	150.0	25.0	74595062.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_2_sequence	69.21553956872903	45.0	150.0	25.0	74595062.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_1_sequence	72.75242677224247	45.0	150.0	25.0	70285633.0
H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_2_sequence	73.25447133165743	46.0	150.0	25.0	70285633.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_1_sequence	73.24269464888118	46.0	150.0	25.0	87328567.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_2_sequence	71.07525817734611	46.0	150.0	25.0	87328567.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_1_sequence	73.3124064768169	46.0	150.0	25.0	75054237.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_2_sequence	70.95429639135722	46.0	150.0	25.0	75054237.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_1_sequence	69.67067849242387	47.0	150.0	25.0	70495144.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_2_sequence	66.85087091878182	48.0	150.0	25.0	70495144.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_1_sequence	60.382939843749995	45.0	150.0	25.0	78102347.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_2_sequence	61.96122250472381	45.0	150.0	25.0	78102347.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_1_sequence	63.76113878810122	45.0	150.0	25.0	79282860.0
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_2_sequence	64.98580780688906	45.0	150.0	25.0	79282860.0
