Module	Section	Sample Name	Source
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM13GDLZH23_1_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM04DGRP360_2_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM11GDLN02_2_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM12GDLT01_2_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM05DGRP362_1_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM06DGRP714_1_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM11GDLN02_1_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM09GDLI02_2_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM08GDLB04_2_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM06DGRP714_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM06DGRP714_2_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM09GDLI02_1_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM10GDLI33_2_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM05DGRP362_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM05DGRP362_2_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM08GDLB04_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM08GDLB04_1_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM03DGRP324_2_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_2_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM13GDLZH23_2_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM12GDLT01_1_sequence_fastqc.zip
FastQC	all_sections	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix2_DM10GDLI33_1_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM04DGRP360_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM04DGRP360_1_sequence_fastqc.zip
FastQC	all_sections	H3C3HBGXC_iPCR_mix1_19s003538-1-1_Perino_lane1DM03DGRP324_1_sequence	/DATA/usr/ludo/projects/LP190425_flySuRE/data/raw/LP20190906_iPCR_resequencing_I/iPCR_mix1_DM03DGRP324_1_sequence_fastqc.zip
